Date,StockPrice
1/1/04,42.6375
2/1/04,43.74631579
3/1/04,40.69913043
4/1/04,42.14904762
5/1/04,43.586
6/1/04,48.84904762
7/1/04,49.13142857
8/1/04,50.54181818
9/1/04,53.36380952
10/1/04,50.39809524
11/1/04,52.95380952
12/1/04,53.34363636
1/1/05,50.6745
2/1/05,53.22473684
3/1/05,57.20772727
4/1/05,58.56142857
5/1/05,61.01380952
6/1/05,63.78818182
7/1/05,65.406
8/1/05,66.7273913
9/1/05,64.88
10/1/05,66.88952381
11/1/05,66.81904762
12/1/05,70.47333333
1/1/06,68.878
2/1/06,72.30263158
3/1/06,76.00217391
4/1/06,82.43315789
5/1/06,85.45909091
6/1/06,82.85545455
7/1/06,80.2965
8/1/06,77.12608696
9/1/06,75.903
10/1/06,82.00954545
11/1/06,86.00714286
12/1/06,89.869
1/1/07,87.8615
2/1/07,90.05473684
3/1/07,89.49954545
4/1/07,91.8345
5/1/07,95.41272727
6/1/07,97.57666667
7/1/07,101.8485714
8/1/07,99.26
9/1/07,99.31684211
10/1/07,98.90652174
11/1/07,93.34857143
12/1/07,89.671
1/1/08,80.81666667
2/1/08,83.077
3/1/08,76.258
4/1/08,78.725
5/1/08,84.42142857
6/1/08,74.69952381
7/1/08,65.03681818
8/1/08,64.33380952
9/1/08,60.94380952
10/1/08,47.59869565
11/1/08,43.69473684
12/1/08,40.47363636
1/1/09,42.991
2/1/09,38.95315789
3/1/09,33.24045455
4/1/09,37.53190476
5/1/09,43.5635
6/1/09,47.96863636
7/1/09,41.48272727
8/1/09,45.99428571
9/1/09,51.36285714
10/1/09,51.15909091
11/1/09,50.6965
12/1/09,55.02863636
